Name,Optimized Hub,Thrill,Seclusion,Driving Diff.,Crowd Density,Initial Rating,Expert Tags
Lambi Dehar Mines,Hathipaon,9,8,7,3,4.2,"spooky, abandoned, limestone, haunted, sunset views"
Pari Tibba (Fairy Hill),Landour,7,9,8,2,4.6,"trekking, rhododendrons, lightning-prone, mystical"
Sisters Bazaar Haunted,Landour,6,7,6,3,3.9,"dilapidated, eerie, forest walk, old ruins"
Mullingar Mansion,Landour,5,4,7,5,4.1,"oldest building, haunted legends, city view, historical"
The Savoy Hotel,Mall Road,4,2,3,7,4.7,"luxury, heritage, gothic, ghost stories, iconic"
Landour Graveyard,Landour,5,8,8,2,4.5,"peaceful, colonial history, pine forest, mossy graves"
Barlowganj Cemetery,Barlowgunj,4,9,6,1,3.8,"isolated, quiet, old-world, overgrown, hidden"
Camel's Back Cemetery,Mall Road,5,7,3,4,4,"gated, victorian, walking trail, quiet, historical"
Jabarkhet Reserve,Landour,6,8,5,3,4.8,"hiking, leopard sightings, conservation, guided tours"
Jharipani Falls,Barlowgunj,7,6,7,5,4.3,"steep trek, monsoon view, picnic, remote"
Cloud’s End,Hathipaon,6,8,7,4,4.5,"dense forest, quiet, boundary, heritage bungalows"
Kimadi Road,Hathipaon,8,7,9,3,4.2,"scenic drive, bike ride, hairpins, offbeat, landslides"
Dhanaulti (Eco Park),Landour,4,5,6,8,4.4,"pine trees, foggy, cold, family picnic, eco-tourism"
Kanatal,Landour,5,8,7,4,4.6,"camping, snow views, quiet, apple orchards"
Bhadraj Temple,Hathipaon,8,10,9,1,4.9,"11km trek, mountain views, temple, solitude"
Nag Tibba Trek,Landour,9,9,8,4,4.8,"overnight trek, snow, goat village, summit, adventure"
Nag Tibba (Base),Landour,7,8,8,5,4.5,"camping, bonfire, starlit sky, shepherd huts"
Surkanda Devi Mandir,Landour,7,5,7,8,4.7,"pilgrimage, ropeway, 360-views, steep climb"
Dalai Hill,Hathipaon,5,6,4,6,4.4,"buddhist flags, sunset, easy walk, tibetan vibes"
George Everest House,Hathipaon,6,5,7,9,4.5,"history, museum, photography, windy, crowded"
Mall Road (Casual),Mall Road,1,1,2,10,4.1,"shopping, food, neon lights, night walk, touristy"
Char Dukan,Landour,3,3,8,9,4.7,"pancakes, tea, nostalgic, breakfast, elite crowd"
Lal Tibba,Landour,4,4,8,9,4.8,"binoculars, highest point, peak views, coffee"
Kellogg Church,Landour,3,6,7,4,4.5,"gothic, silent, forest backdrop, old-world"
St. Paul’s Church,Landour,2,5,7,5,4.4,"military area, peaceful, historic, wooden interiors"
Sisters Bazaar House,Landour,2,7,7,4,4.3,"peanut butter, quiet, forest walk, bakeries"
Camel's Back Road,Mall Road,3,4,2,8,4.2,"morning walk, camel rock, horse riding, sunset"
Landour Clock Tower,Landour,2,2,8,9,4,"busy junction, street food, heritage, architecture"
Gun Hill (Trolley),Mall Road,6,1,1,10,3.9,"cable car, snowy peaks, gaming stalls, telescope"
Kempty Falls,Hathipaon,5,1,6,10,3.7,"massive falls, crowded, water park, commercial"
Company Garden,Mall Road,2,2,4,9,4.1,"flowers, family, boating, artificial falls"
Bhatta Falls,Barlowgunj,6,4,6,8,4.2,"ropeway, swimming pools, picnic, steep"
Christ Church,Mall Road,2,3,3,7,4.3,"stained glass, colonial, central, historic"
Mussoorie Lake,Barlowgunj,4,2,4,9,3.8,"man-made, pedal boats, roadside, snacks"
Happy Valley,Hathipaon,3,6,5,5,4.6,"tibetan culture, monasteries, peaceful, dalai lama"
Shedup Choephelling,Hathipaon,3,5,5,6,4.7,"meditation, golden buddha, valley view, quiet"
Santura Devi Temple,Hathipaon,4,7,7,3,4.2,"hilltop, local deity, spiritual, view, steep road"
Prakasheshwar Mandir,Barlowgunj,3,2,5,10,4.5,"spiritual, free food, hilltop, no-donations"
Lake Mist,Hathipaon,4,4,5,7,4,"quiet lake, resort, greenery, on way to Kempty"
Benog Sanctuary,Hathipaon,6,9,7,2,4.7,"bird watching, mountain quail, trek, deep forest"
Mossy Falls,Mall Road,6,8,7,3,4.1,"hidden, wet rocks, forest trek, mossy, secluded"